contractor_id,contractor_type_id,contractor_version,"contractor_bus_name","contractor_number",dmerc_rgn,"address1","address2","address3","city",state_id,"zipcode","phone","fax","status",last_updated,"url","email","ignore","status_flag","cmd_name","cmd_title",contractor_subtype_id
139,10,1,"Noridian Administrative Services","19003",4,"PO Box 6727","900 42nd Street South","","Fargo",35,"58108-6727","8773200390","","A",2013-10-14 15:55:43,"noridianmedicare.com/dme","","","Y","Eileen M. Moynihan","MD, FACP, FACR",4
139,10,2,"Noridian Healthcare Solutions, LLC","19003",4,"PO Box 6727","900 42nd Street South","","Fargo",35,"58108-6727","8773200390","","A",2018-02-14 21:01:17.937000000,"https://med.noridianmedicare.com/web/jddme","","","Y","Peter J. Gurk","MD, CPE, CHCQM",4
140,10,1,"CIGNA Government Services","18003",3,"  2 Vantage Way - Metro Center","","","Nashville",50,"37228","8662704909","","A",2009-01-22 20:26:36,"www.cignagovernmentservices.com/jc","","","N","Robert D. Hoover, Jr.","MD, MPH, FACP",4
140,10,2,"CGS Administrators, LLC","18003",3,"26 Century Blvd","Ste ST610","","Nashville",50,"37214-3685","8662704909","","A",2022-01-07 20:37:45.337000000,"www.cgsmedicare.com/jc","","","Y","Robert D. Hoover, Jr.","MD, MPH, FACP",4
143,8,1,"Wisconsin Physicians Service Insurance Corporation","05101",11,"1717  W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-02-16 16:43:05.910000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",1
144,8,1,"Wisconsin Physicians Service Insurance Corporation","05201",11,"1717 W.Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-02-16 16:43:27.140000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",1
145,8,1,"Wisconsin Physicians Service Insurance Corporation","05301",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-02-16 16:43:50.777000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",1
146,8,1,"Wisconsin Physicians Service Insurance Corporation","05401",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-02-16 16:44:11.647000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",1
147,9,1,"Wisconsin Physicians Service Insurance Corporation","05102",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-02-16 16:44:57.860000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",2
148,9,1,"Wisconsin Physicians Service Insurance Corporation","05202",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-02-16 16:45:12.987000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",2
149,9,1,"Wisconsin Physicians Service Insurance Corporation","05302",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-02-16 16:45:24.137000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",2
151,9,1,"Wisconsin Physicians Service Insurance Corporation","05402",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-02-16 16:45:43.697000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",2
228,9,1,"CIGNA Government Services","15102",," Two Vantage Way","","","Nashville",50," 27228","8662769558","","A",2011-05-02 13:51:24,"www.cignagovernmentservices.com\J15","","","N","Dr. Gary Oakes"," ",2
228,9,2,"CGS Administrators, LLC","15102",14,"26 Century Blvd.","Ste. ST610","","Nashville",50,"37214-3685","8662769558","","A",2021-01-05 17:54:20.633000000,"www.cgsmedicare.com","","","Y","Meredith Loveless, MD","Chief Medical Director",2
236,11,1,"CIGNA Government Services","15004",,"Two Vantage Way","","","Nashville",50,"27228","8662769558","","A",2011-05-02 13:52:31,"www.cignagovernmentservices.com\J15","","","N","Dr. Gary Oakes","MD",3
236,11,2,"CGS Administrators, LLC","15004",14,"Two Vantage Way","","","Nashville",50,"37228-","8772994500","","A",2021-01-05 17:55:01.383000000,"www.cgsmedicare.com","","","Y","Neil Sandler, MD","Chief Medical Officer",3
238,9,1,"CIGNA Government Services","15202",,"Two Vintage Way","","","Nashville",50,"27228","8662769558","","A",2011-05-04 16:53:30,"www.cignagovernmentservices.com\J15","","","N","Dr. Gary Oakes","Medical Director",2
238,9,2,"CGS Administrators, LLC","15202",14,"26 Century Blvd.","Ste. ST610","","Nashville",50,"37214-3685","8662769558","","A",2021-01-05 17:53:52.357000000,"www.cgsmedicare.com","","","Y","Meredith Loveless, MD,","Chief Medical Director",2
239,8,1,"CGS Administrators, LLC","15101",14,"26 Century Blvd.","Ste ST610","","Nashville",50,"37214-3685","8665906703","","A",2020-09-21 15:54:06.263000000,"www.cgsmedicare.com","","","Y","Meredith Loveless, MD","Chief Medical Officer",1
240,8,1,"CGS Administrators, LLC","15201",14,"26 Century Blvd.","Ste. ST610","","Nashville",50,"37214-3685","8665906703","","A",2020-09-21 15:55:13.993000000,"www.cgsmedicare.com","","","Y","Meredith Loveless, MD","Chief Medical Officer",1
264,8,1,"Wisconsin Physicians Service Insurance Corporation","08101",13,"1717 W. Broadway","PO BOX 1787","","Madison",57,"53701-1787","8662347331","","A",2018-02-16 16:46:22.207000000,"www.wpsgha.com","","","Y","Ella M. Noel, D.O., F.A.C.O.I.","Mac Jurisdiction 8 Contractor Medical Director",1
