lcd_id,retire_dt
37768,2022-02-14 00:00:00
37929,2022-01-27 00:00:00
38560,2022-04-01 14:43:24.567000000
38565,2022-04-14 15:43:25.783000000
38567,2022-03-02 12:48:15.407000000
38569,2022-01-26 12:19:58.640000000
38575,2022-04-14 14:01:35.740000000
38581,2022-03-18 13:31:38.317000000
38583,2022-04-23 08:36:16.583000000
38585,2022-04-16 12:22:53.923000000
38587,2022-04-07 16:35:46.147000000
38588,2022-02-12 17:52:22.437000000
38612,2022-01-29 13:19:12.593000000
38614,2022-01-29 13:19:41.220000000
38628,2022-05-11 15:33:09.497000000
38630,2022-02-22 16:26:59.187000000
38631,2022-05-13 10:02:02.660000000
38632,2022-02-22 16:27:30.457000000
38633,2022-05-13 10:02:23.373000000
38642,2022-05-12 10:27:12.657000000
38644,2022-05-12 10:27:31.643000000
38646,2022-04-28 15:04:52.050000000
38648,2022-04-28 15:07:43.073000000
38670,2022-05-11 15:33:29.223000000
38674,2022-03-02 12:50:41.637000000
38675,2022-05-04 07:52:22.757000000
38677,2022-05-18 13:32:26.687000000
38679,2022-04-06 11:55:41.907000000
38683,2022-05-18 11:44:18.933000000
38736,2022-08-31 09:28:14.270000000
38770,2022-01-28 12:59:26.170000000
38778,2022-09-22 13:53:32.723000000
38788,2022-02-22 09:45:23.823000000
38800,2022-01-28 15:18:23.283000000
38802,2022-02-01 15:13:13.590000000
38813,2022-11-11 19:36:15.907000000
38815,2022-11-11 19:38:12.417000000
38821,2022-09-24 10:47:54.837000000
38834,2022-10-27 12:53:30.533000000
38836,2022-01-26 11:36:06.280000000
38838,2022-02-24 11:25:30.377000000
38840,2022-02-24 11:57:48.807000000
38842,2022-02-19 10:30:50.550000000
38845,2022-02-16 08:48:41.030000000
38849,2022-02-10 08:47:14.440000000
38850,2022-02-15 07:29:00.537000000
38853,2022-06-02 14:23:25.617000000
38876,2022-03-18 10:16:33.387000000
38877,2022-03-18 10:16:53.350000000
38897,2022-05-18 16:27:40.667000000
38900,2022-05-18 16:26:42.373000000
38901,2022-09-08 08:10:06.350000000
38903,2022-09-08 08:10:30.307000000
38912,2022-05-05 13:31:53.783000000
38913,2022-05-05 13:31:39.923000000
38915,2022-05-05 08:13:36.673000000
38917,2022-05-05 08:13:56.673000000
38919,2022-04-14 07:47:46.073000000
38921,2022-04-26 15:10:52.950000000
38922,2022-05-04 11:31:41.173000000
38925,2022-05-04 15:56:35.073000000
38927,2022-04-28 09:49:22.903000000
38928,2022-04-30 09:48:16.290000000
38931,2022-05-03 13:07:10.657000000
38936,2022-06-02 12:51:00.947000000
38940,2022-01-27 00:00:00
38949,2022-06-15 09:16:11.537000000
38950,2022-06-14 09:24:40.873000000
38951,2022-06-14 09:24:20.563000000
38952,2022-07-09 15:47:47.580000000
38954,2022-07-09 10:41:30.460000000
38967,2022-07-19 14:30:10.513000000
38969,2022-09-07 11:58:41.400000000
38979,2022-12-13 21:07:27.617000000
38987,2023-01-11 18:42:26.347000000
38991,2022-10-27 21:32:16.203000000
38993,2022-09-08 14:15:03.450000000
38998,2022-08-03 15:19:45.833000000
38999,2022-08-03 15:20:04.423000000
39014,2022-09-03 12:25:50.817000000
39022,2022-08-30 15:17:11.317000000
39026,2022-08-18 12:21:08.300000000
39035,2022-09-08 14:17:24.650000000
39037,2023-01-12 17:59:57.270000000
39050,2022-08-31 08:11:11.530000000
39052,2022-09-14 13:39:29.687000000
39053,2022-10-05 11:53:49.407000000
39057,2022-10-20 19:17:52.213000000
39059,2022-10-20 19:18:08.413000000
39061,2022-10-11 14:07:38.530000000
39062,2022-10-05 14:36:10.493000000
39067,2022-10-07 11:23:50.980000000
39069,2022-10-11 15:23:20.057000000
39070,2022-10-07 13:03:16.270000000
39072,2022-10-06 13:25:58.937000000
39074,2023-01-04 16:33:33.133000000
39076,2022-08-12 12:39:49.243000000
39079,2022-09-13 14:29:21.897000000
39081,2022-11-12 18:22:26.547000000
39083,2022-11-12 18:37:50.823000000
39085,2022-11-16 17:40:10.913000000
39096,2022-10-22 22:39:50.353000000
39097,2022-10-22 22:40:12.877000000
39098,2022-11-16 19:25:36.260000000
39099,2022-11-17 16:13:54.770000000
39112,2022-11-16 20:18:26.977000000
39119,2022-11-15 15:40:33.843000000
39120,2023-01-10 18:22:51.983000000
39156,2022-12-14 15:48:19.463000000
