"lcd_id","lcd_version","related_num","r_article_id","r_article_version","r_lcd_id","r_lcd_version","r_contractor_id","last_updated"
"32553","15","2","56424","3","","","228","2019-03-22 16:15:07.870000000"
"32553","16","2","56424","3","","","228","2019-03-22 16:15:07.870000000"
"32553","17","2","56424","3","","","228","2019-03-22 16:15:07.870000000"
"33252","29","1","57520","3","","","368","2019-10-14 15:04:05.083000000"
"33252","29","3","58257","2","","","368","2020-06-19 22:47:14.650000000"
"33256","21","1","56919","3","","","368","2019-08-16 20:38:13.360000000"
"33256","21","2","56920","3","","","368","2019-08-16 20:38:31.480000000"
"33256","23","1","56919","3","","","368","2019-08-16 20:38:13.360000000"
"33256","23","2","56920","3","","","368","2019-08-16 20:38:31.480000000"
"33261","32","3","57531","4","","","368","2019-10-17 15:28:36.290000000"
"33261","32","4","58252","2","","","368","2020-06-19 22:53:33.593000000"
"33261","40","1","57531","22","","","368","2021-05-21 14:17:03.743000000"
"33261","40","2","58751","6","","","368","2021-05-21 14:17:22.497000000"
"33261","40","3","","","38927","11","368","2021-05-21 14:16:47.733000000"
"33267","17","1","57649","3","","","368","2019-11-21 23:30:30.590000000"
"33270","35","1","57603","4","","","368","2019-10-18 19:02:45.897000000"
"33270","35","2","57602","6","","","368","2019-10-18 19:02:45.897000000"
"33271","15","1","56341","5","","","368","2019-03-04 23:02:02.503000000"
"33271","15","2","57634","4","","","368","2019-11-21 23:21:38.843000000"
"33274","29","1","57715","4","","","368","2019-11-22 00:11:02.490000000"
"33274","36","1","57715","9","","","368","2021-01-29 16:05:03.830000000"
"33274","36","2","58585","4","","","368","2021-01-29 16:05:03.830000000"
"33274","36","3","","","38828","7","368","2021-01-29 16:05:21.600000000"
"33282","26","3","57061","4","","","368","2019-10-02 19:14:22.920000000"
"33312","34","1","55426","12","","","388","2017-03-16 19:16:59.283000000"
"33312","34","2","52505","1","","","138","2014-04-04 14:28:40"
"33317","24","1","52478","1","","","139","2014-04-04 12:47:30"
"33317","24","2","55426","12","","","139","2017-03-20 18:22:10.983000000"
"33317","27","1","52478","1","","","139","2014-04-04 12:47:30"
"33317","27","2","55426","12","","","139","2017-03-20 18:22:10.983000000"
"33317","29","1","55426","12","","","139","2017-03-20 18:22:10.983000000"
"33317","29","2","52478","1","","","139","2014-04-04 12:47:30"
"33318","47","1","55426","12","","","140","2017-03-09 18:40:42.867000000"
"33318","47","2","52465","2","","","140","2014-04-04 20:22:12"
"33369","26","1","55426","14","","","388","2017-04-27 15:04:15.133000000"
"33369","26","2","52501","1","","","138","2014-04-04 14:27:02"
"33370","30","1","52466","27","","","140","2020-03-27 15:37:10.530000000"
"33370","30","2","55426","76","","","140","2020-03-27 16:44:59.603000000"
"33370","30","3","58035","2","","","140","2020-03-26 18:44:34.890000000"
"33380","18","1","57062","3","","","368","2019-10-02 19:33:53.033000000"
"33382","24","1","57654","4","","","368","2019-11-21 23:33:19.707000000"
"33393","5","1","52830","2","","","308","2014-04-02 21:12:07"
"33394","44","1","52370","12","","","297","2016-02-02 13:48:26.467000000"
"33394","44","2","52371","7","","","297","2016-02-02 13:48:26.467000000"
"33394","44","3","52399","15","","","297","2016-02-02 13:48:26.467000000"
"33394","44","4","52855","6","","","297","2016-02-02 13:48:26.480000000"
"33394","44","5","54548","3","","","297","2016-02-02 13:48:26.480000000"
"33394","44","6","52408","13","","","297","2016-02-02 13:48:26.480000000"
"33394","44","7","52420","11","","","297","2016-02-02 13:48:26.527000000"
"33394","44","8","52421","10","","","297","2016-02-02 13:48:26.527000000"
"33394","44","9","52423","21","","","297","2016-02-02 13:48:26.527000000"
"33394","44","10","52446","16","","","297","2016-02-02 13:48:26.527000000"
"33394","44","11","52453","7","","","297","2016-02-02 13:48:26.527000000"
"33394","44","12","54862","3","","","297","2016-02-02 13:48:26.543000000"
"33394","44","13","52448","9","","","297","2016-02-02 13:48:26.543000000"
"33394","44","14","52450","11","","","297","2016-02-02 13:48:26.543000000"
"33394","44","15","52451","9","","","297","2016-02-02 13:48:26.543000000"
"33394","44","16","54549","3","","","297","2016-02-02 13:48:26.543000000"
"33394","44","17","54863","1","","","297","2016-02-02 13:48:26.543000000"
"33394","44","18","52452","14","","","297","2016-02-02 13:48:26.543000000"
"33396","10","1","57453","4","","","297","2019-10-18 14:27:54.020000000"
"33398","26","1","57528","4","","","297","2020-06-05 16:54:51.483000000"
"33398","26","2","58145","5","","","297","2020-06-05 16:55:00.660000000"
"33399","14","1","57030","3","","","297","2019-09-06 16:27:46.927000000"
"33405","25","1","","","36222","3","368","2015-10-30 21:20:48.013000000"
"33405","25","2","55831","2","","","368","2017-12-07 04:18:43.673000000"
"33405","25","4","57496","4","","","368","2019-10-11 18:15:19.417000000"
"33405","25","5","58259","2","","","368","2020-06-19 22:56:19.440000000"
"33406","10","2","57770","3","","","368","2019-11-22 00:24:31.353000000"
"33410","26","1","57275","8","","","368","2020-02-27 17:50:18.950000000"
"33410","26","2","57996","2","","","368","2020-02-27 17:50:18.953000000"
"33410","26","3","57995","2","","","368","2020-02-27 17:50:18.953000000"
"33411","29","1","57145","3","","","368","2019-10-02 20:00:19.343000000"
"33413","45","1","57156","3","","","368","2019-10-02 20:09:49.727000000"
"33417","36","1","55502","2","","","378","2017-04-05 16:35:45.870000000"
"33417","36","2","","","37147","4","378","2017-04-05 16:35:53.130000000"
"33417","36","3","56559","2","","","378","2019-05-08 17:27:21.677000000"
"33417","40","1","55502","2","","","378","2017-04-05 16:35:45.870000000"
"33417","40","2","","","37147","4","378","2017-04-05 16:35:53.130000000"
"33417","40","3","56559","2","","","378","2019-05-08 17:27:21.677000000"
"33418","54","1","56485","4","","","394","2019-04-04 19:24:08.097000000"
"33420","38","3","53095","6","","","378","2016-10-13 20:06:53.617000000"
"33420","41","3","53095","6","","","378","2016-10-13 20:06:53.617000000"
"33422","37","1","56565","2","","","394","2019-05-16 12:37:07.730000000"
"33422","40","1","56565","2","","","394","2019-05-16 12:37:07.730000000"
"33423","44","1","55670","2","","","374","2017-07-28 15:58:50.370000000"
"33423","44","2","","","37377","3","374","2017-07-28 15:59:27.013000000"
"33423","44","3","56691","3","","","391","2019-07-02 22:14:25.673000000"
"33423","48","1","55670","2","","","374","2017-07-28 15:58:50.370000000"
