lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
33431,49,1,100,1,2015-02-03 19:16:32
33431,52,1,100,1,2015-02-03 19:16:32
34074,33,1,158,1,2015-08-28 22:10:54.280000000
34313,18,1,266,1,2015-09-08 21:19:07.843000000
34314,47,1,158,1,2015-08-28 22:12:05.510000000
34575,39,1,194,1,2018-09-26 13:23:01.267000000
34575,39,2,156,1,2018-09-26 13:23:15.383000000
34575,39,3,55,1,2018-09-26 13:23:27.663000000
34588,24,1,11,1,2016-02-01 18:08:34.123000000
34588,24,2,283,1,2016-02-01 18:08:43.983000000
34588,24,3,284,1,2016-02-01 18:08:47.727000000
34588,24,4,15,1,2016-02-01 18:09:16.353000000
34588,26,1,11,1,2016-02-01 18:08:34.123000000
34588,26,2,283,1,2016-02-01 18:08:43.983000000
34588,26,3,284,1,2016-02-01 18:08:47.727000000
34588,26,4,15,1,2016-02-01 18:09:16.353000000
34616,36,1,240,1,2016-10-04 16:19:10.073000000
34624,36,1,270,2,2019-10-31 16:56:48.123000000
34624,38,1,270,2,2019-10-31 16:56:48.123000000
34633,45,1,322,1,2019-12-11 14:07:39.850000000
34633,47,1,322,1,2019-12-11 14:07:39.850000000
34636,32,1,179,2,2016-03-15 16:07:05.267000000
34636,34,1,179,2,2016-03-15 16:07:05.267000000
34645,44,1,28,1,2019-10-31 18:06:14.077000000
34645,44,2,29,1,2019-11-01 17:19:13.670000000
34645,46,1,28,1,2019-10-31 18:06:14.077000000
34645,46,2,29,1,2019-11-01 17:19:13.670000000
34698,30,4,338,1,2019-10-23 17:24:15.403000000
34698,30,5,129,1,2019-10-23 17:24:15.403000000
34698,31,4,338,1,2019-10-23 17:24:15.403000000
34698,31,5,129,1,2019-10-23 17:24:15.403000000
34760,21,1,56,1,2019-10-31 18:48:32.227000000
34760,21,2,69,1,2019-10-31 18:48:48.950000000
34760,21,3,176,2,2019-10-31 18:49:05.697000000
34760,23,1,56,1,2019-10-31 18:48:32.227000000
34760,23,2,69,1,2019-10-31 18:48:48.950000000
34760,23,3,176,2,2019-10-31 18:49:05.697000000
34761,28,1,201,9,2015-02-17 22:13:27
34761,30,1,201,9,2015-02-17 22:13:27
34833,94,1,160,1,2017-04-18 18:19:24.750000000
34833,94,2,345,1,2017-04-18 18:19:54.063000000
34865,72,1,177,5,2018-09-26 16:51:18.040000000
34938,68,1,129,1,2016-11-17 14:01:12.057000000
34953,27,1,179,2,2018-09-12 21:21:03.633000000
34975,67,1,200,1,2018-10-01 15:15:11.790000000
34977,27,1,41,1,2019-04-30 14:09:49.010000000
34977,27,2,42,1,2019-04-30 14:09:49.010000000
34996,33,1,270,2,2019-07-23 20:33:48.777000000
35006,119,1,28,1,2019-06-14 16:34:01.367000000
35010,34,1,11,1,2018-02-16 19:41:32.350000000
35010,34,2,15,1,2018-02-16 19:42:07.050000000
35010,36,1,11,1,2018-02-16 19:41:32.350000000
35010,36,2,15,1,2018-02-16 19:42:07.050000000
35014,39,1,156,1,2018-12-17 21:04:58.270000000
35014,39,2,194,1,2018-12-17 21:05:11.677000000
35014,39,3,55,1,2018-12-17 21:05:34.137000000
35022,62,1,57,5,2017-06-06 19:12:46.257000000
35022,67,1,57,5,2017-06-06 19:12:46.257000000
35035,74,1,201,10,2019-04-11 19:35:06.297000000
35035,74,2,255,1,2019-04-11 19:35:26.650000000
35036,99,2,131,3,2016-04-13 17:35:56.923000000
35036,99,3,76,1,2016-04-13 17:35:56.923000000
35036,99,4,3,1,2016-04-13 17:35:56.937000000
35036,99,5,175,2,2016-04-13 17:35:56.937000000
35036,99,6,231,2,2016-04-13 17:35:56.937000000
35036,99,7,88,1,2016-04-13 17:35:56.937000000
35036,99,8,124,1,2016-04-13 17:35:56.953000000
35036,99,9,315,1,2016-05-23 19:52:10.030000000
35036,99,10,94,1,2018-03-22 19:14:09.257000000
35036,99,11,22,2,2018-03-22 19:14:28.077000000
35036,106,2,131,3,2016-04-13 17:35:56.923000000
35036,106,3,76,1,2016-04-13 17:35:56.923000000
35036,106,4,3,1,2016-04-13 17:35:56.937000000
35036,106,5,175,2,2016-04-13 17:35:56.937000000
35036,106,6,231,2,2016-04-13 17:35:56.937000000
35036,106,7,88,1,2016-04-13 17:35:56.937000000
35036,106,8,124,1,2016-04-13 17:35:56.953000000
35036,106,9,315,1,2016-05-23 19:52:10.030000000
35036,106,10,94,1,2018-03-22 19:14:09.257000000
35036,106,11,22,2,2018-03-22 19:14:28.077000000
35041,113,1,217,5,2016-08-17 12:25:32.367000000
35050,55,2,32,1,2018-02-15 15:21:27.923000000
35050,55,3,226,3,2018-02-15 15:21:43.240000000
35062,117,1,333,1,2016-10-04 15:38:49.730000000
35062,122,1,333,1,2016-10-04 15:38:49.730000000
35081,79,1,270,2,2018-10-16 18:16:28.553000000
35084,70,1,201,10,2019-02-26 20:02:12.200000000
35084,74,1,201,10,2019-02-26 20:02:12.200000000
35089,30,1,81,1,2018-02-21 13:34:12.233000000
35090,69,1,64,1,2019-05-15 16:30:43.517000000
35090,69,2,14,1,2019-05-15 16:31:03.247000000
35090,69,3,338,1,2019-05-15 16:31:50.393000000
35091,65,1,60,1,2019-03-20 17:07:39.100000000
35091,65,2,9,1,2019-03-20 17:10:07.463000000
35091,65,3,239,1,2019-03-20 17:12:39.993000000
35091,65,4,213,1,2019-03-20 17:13:24.373000000
35093,100,1,158,1,2016-05-02 18:11:22.020000000
35099,60,1,98,2,2016-03-28 18:18:00.937000000
35099,60,2,100,1,2016-03-28 18:18:16.600000000
35099,60,3,101,1,2016-03-28 18:18:32.637000000
35099,60,5,102,2,2016-03-28 18:19:43.200000000
35111,76,1,150,1,2019-02-01 12:45:56.593000000
35112,59,1,223,2,2019-08-01 19:07:08.920000000
35125,76,1,217,5,2017-05-25 19:48:49.753000000
35125,76,2,131,3,2017-05-25 19:48:49.760000000
35125,76,3,232,1,2017-05-25 19:48:49.760000000
35125,76,4,139,1,2017-05-25 19:48:49.767000000
35125,76,5,47,1,2017-05-25 19:48:49.770000000
35136,31,1,240,1,2019-11-20 15:24:04.527000000
35136,32,1,240,1,2019-11-20 15:24:04.527000000
35136,33,1,240,1,2019-11-20 15:24:04.527000000
35222,21,1,11,1,2016-04-04 19:41:32.077000000
35222,21,2,15,1,2016-04-04 19:41:59.033000000
35222,21,3,135,1,2016-04-04 19:42:12.247000000
35222,23,1,11,1,2016-04-04 19:41:32.077000000
35222,23,2,15,1,2016-04-04 19:41:59.033000000
35222,23,3,135,1,2016-04-04 19:42:12.247000000
35395,48,1,171,1,2016-05-03 14:39:28.237000000
35397,64,1,165,1,2016-10-04 14:24:09.367000000
35397,64,2,164,1,2016-10-04 14:24:09.380000000
35397,64,3,263,3,2016-10-04 14:24:09.380000000
35397,64,4,212,1,2016-10-04 15:01:21.163000000
35408,26,1,279,1,2016-08-03 11:27:25.340000000
35408,26,2,176,2,2019-04-29 13:02:44.270000000
35408,26,3,177,6,2019-04-29 13:02:44.287000000
35409,64,1,263,3,2019-08-12 15:39:15.820000000
35434,30,1,169,1,2018-09-27 19:44:24.197000000
35448,81,1,62,2,2019-02-04 17:12:22.507000000
35448,81,2,226,3,2019-02-04 17:12:22.507000000
35448,86,1,62,2,2019-02-04 17:12:22.507000000
35448,86,2,226,3,2019-02-04 17:12:22.507000000
35450,41,1,240,1,2017-10-23 17:17:05.237000000
35451,48,1,165,1,2016-10-04 13:01:40.287000000
35451,48,2,263,3,2016-10-04 13:01:40.303000000
35486,16,1,42,1,2019-10-31 15:58:46.883000000
35486,16,2,231,2,2019-10-31 15:59:04.597000000
35486,16,3,249,1,2019-10-31 15:59:19.787000000
35486,18,1,42,1,2019-10-31 15:58:46.883000000
35486,18,2,231,2,2019-10-31 15:59:04.597000000
35486,18,3,249,1,2019-10-31 15:59:19.787000000
35498,24,1,129,1,2018-09-18 15:51:39.627000000
35498,26,1,129,1,2018-09-18 15:51:39.627000000
35698,23,1,333,1,2014-10-20 15:30:45
35698,24,1,333,1,2014-10-20 15:30:45
35751,35,2,165,1,2015-06-10 13:14:17.133000000
35751,35,4,263,3,2015-06-10 13:14:17.147000000
35751,37,2,165,1,2015-06-10 13:14:17.133000000
35751,37,4,263,3,2015-06-10 13:14:17.147000000
35751,39,2,165,1,2015-06-10 13:14:17.133000000
35751,39,4,263,3,2015-06-10 13:14:17.147000000
35753,33,1,212,1,2015-06-09 19:28:44.637000000
35753,33,2,204,2,2015-06-09 19:28:44.653000000
35753,33,3,263,3,2015-06-09 19:28:44.653000000
35753,35,1,212,1,2015-06-09 19:28:44.637000000
35753,35,2,204,2,2015-06-09 19:28:44.653000000
35753,35,3,263,3,2015-06-09 19:28:44.653000000
35755,29,4,263,3,2015-06-10 14:18:34.430000000
35755,31,4,263,3,2015-06-10 14:18:34.430000000
35761,34,1,204,2,2015-06-09 20:13:04.240000000
35761,34,2,165,1,2015-06-09 20:13:04.240000000
35761,34,3,164,1,2015-06-09 20:13:04.270000000
35761,34,4,263,3,2015-06-09 20:13:04.287000000
35761,36,1,204,2,2015-06-09 20:13:04.240000000
35761,36,2,165,1,2015-06-09 20:13:04.240000000
35761,36,3,164,1,2015-06-09 20:13:04.270000000
35761,36,4,263,3,2015-06-09 20:13:04.287000000
