"lcd_id","lcd_version","related_num","source_lcd_id","last_updated"
"33256","21","1","32314","2015-10-28 15:02:55.317000000"
"33317","24","1","11569","2016-02-26 15:55:39.453000000"
"33317","24","2","11554","2016-05-23 15:53:05.003000000"
"33317","24","3","26999","2016-05-23 15:53:10.403000000"
"33317","24","4","5043","2016-05-23 15:53:14.147000000"
"33317","27","1","11569","2016-02-26 15:55:39.453000000"
"33317","27","2","11554","2016-05-23 15:53:05.003000000"
"33317","27","3","26999","2016-05-23 15:53:10.403000000"
"33317","27","4","5043","2016-05-23 15:53:14.147000000"
"33393","5","1","25678","2014-04-02 14:35:31.217000000"
"33610","25","1","27260","2016-02-26 18:01:15.913000000"
"33610","25","2","27259","2016-05-23 18:00:33.103000000"
"33610","25","3","27258","2016-05-23 18:00:46.927000000"
"33610","25","4","27261","2016-05-23 18:01:02.403000000"
"33611","18","1","28603","2016-02-26 18:04:10.873000000"
"33611","18","2","28620","2016-05-23 18:10:06.310000000"
"33611","18","3","28601","2016-05-23 18:10:22.970000000"
"33611","18","4","28606","2016-05-23 18:10:36.137000000"
"33684","44","1","28851","2016-04-26 18:35:06.100000000"
"33686","22","1","11517","2016-02-26 16:51:09.187000000"
"33686","22","2","27229","2016-05-23 13:25:07.037000000"
"33686","22","3","11527","2016-05-23 13:25:23.277000000"
"33686","22","4","142","2016-05-23 13:25:40.717000000"
"33690","18","1","13877","2016-03-23 17:53:08.073000000"
"33690","18","2","27232","2016-05-24 11:59:19.043000000"
"33690","18","3","13613","2016-05-24 11:59:42.677000000"
"33690","18","4","13577","2016-05-24 11:59:55.453000000"
"33733","17","1","4989","2016-03-01 14:47:23.513000000"
"33733","17","2","27224","2016-05-24 12:03:32.347000000"
"33733","17","3","11496","2016-05-24 12:03:44.843000000"
"33733","17","4","11485","2016-05-24 12:03:55.700000000"
"33735","17","5","27213","2016-05-24 12:13:04.850000000"
"33735","17","6","11552","2016-05-24 12:13:57.783000000"
"33735","17","7","5038","2016-05-24 12:14:10.857000000"
"33735","17","8","11567","2016-05-24 12:14:30.763000000"
"33736","18","1","4991","2016-03-01 14:49:04.477000000"
