lcd_id,lcd_version,meeting_id,meeting_date,"meeting_info",sort_order,last_updated
38560,6,1,2020-06-01 00:00:00,"<p>Columbia</p>",1,2020-04-17 15:31:45.960000000
38565,6,1,2020-06-01 00:00:00,"<p>Columbia</p>",1,2020-04-17 15:33:42.360000000
38567,4,1,2020-06-01 00:00:00,"",1,2020-04-17 15:32:47.967000000
38569,7,1,2020-06-01 00:00:00,"<p>Columbia</p>",1,2020-04-17 15:30:48.830000000
38575,3,1,2020-06-01 00:00:00,"<p>Columbia</p>",1,2020-04-17 15:34:24.733000000
38581,3,1,2020-06-23 00:00:00,"<p>This policy will be presented at the open&nbsp; meeting on June 23, 2020.</p>",1,2020-05-18 13:42:59.297000000
38583,3,1,2020-06-23 00:00:00,"<p>This policy will be presented at the open meeting on June 23, 2020.</p>",1,2020-05-18 13:43:48.340000000
38585,3,1,2020-06-23 00:00:00,"<p>This policy will be presented at the open meeting on June 23, 2020.</p>",1,2020-05-18 13:44:24.650000000
38587,3,1,2020-06-23 00:00:00,"<p>This policy will be presented at the open meeting on June 23, 2020</p>",1,2020-05-18 13:46:15.097000000
38588,4,1,2020-06-23 00:00:00,"<p>This policy will be presented at the open meeting on June 23, 2020.</p>",1,2020-05-18 13:41:42.480000000
38612,5,1,2020-05-20 00:00:00,"<p>Teleconfernce Meeting Only, 3:00 PM ET.</p>",1,2020-05-01 19:04:47.837000000
38614,5,1,2020-05-20 00:00:00,"<p><span style=""line-height: 107%;"">Teleconfernce Meeting Only, 3:00 PM ET.</span></p>",1,2020-05-01 19:05:31.160000000
38628,4,1,2020-06-04 00:00:00,"<p>Teleconference Only</p>",1,2020-05-14 19:13:14.907000000
38630,4,1,2020-06-03 00:00:00,"<p>Teleconference Only</p>",1,2020-05-14 17:44:20.277000000
38631,4,1,2020-06-03 00:00:00,"<p>Teleconference Only</p>",1,2020-05-14 14:46:57.637000000
38632,3,1,2020-06-03 00:00:00,"<p>Teleconference only</p>",1,2020-05-14 19:09:21.183000000
38633,3,1,2020-06-03 00:00:00,"<p>Teleconference Only</p>",1,2020-05-14 15:17:41.750000000
38642,4,1,2020-06-03 00:00:00,"<p>Teleconference Only</p>",1,2020-05-14 15:51:38.410000000
38644,4,1,2020-06-03 00:00:00,"",1,2020-05-14 15:56:04.100000000
38646,6,1,2020-06-04 00:00:00,"<p>Teleconference Only</p>",1,2020-05-14 17:25:01.467000000
38648,5,1,2020-06-04 00:00:00,"<p>Teleconference Only</p>",1,2020-05-14 17:30:10.763000000
38670,4,1,2020-06-04 00:00:00,"<p>Teleconference Only</p>",1,2020-05-14 19:24:29.627000000
38674,3,1,2020-06-17 00:00:00,"<p>Teleconference</p>",1,2020-05-20 16:53:09.953000000
38674,3,2,2020-06-18 00:00:00,"<p>J5 CAC Teleconference</p>",2,2020-05-20 16:53:09.953000000
38674,3,3,2020-06-22 00:00:00,"<p>J8 CAC Teleconference</p>",3,2020-05-20 16:53:09.953000000
38675,3,1,2020-06-17 00:00:00,"<p>J5 and J8 - Teleconference</p>",1,2020-05-20 15:36:46.487000000
38675,3,2,2020-06-18 00:00:00,"<p>J5 via Teleconference</p>",2,2020-05-20 15:36:46.487000000
38675,3,3,2020-06-22 00:00:00,"<p>J8 via Teleconference</p>",3,2020-05-20 15:36:46.490000000
38677,2,1,2020-06-17 00:00:00,"<p>Teleconference</p>",1,2020-05-20 11:59:17.847000000
38677,2,2,2020-06-18 00:00:00,"<p>J5 via Teleconference</p>",2,2020-05-20 11:59:17.850000000
38677,2,3,2020-06-22 00:00:00,"<p>J8 via Teleconference</p>",3,2020-05-20 11:59:17.850000000
38679,2,1,2020-06-17 00:00:00,"<p>Teleconference</p>",1,2020-05-19 18:36:38.507000000
