lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
32553,17,228,9,2,2021-10-15 21:53:18.413000000
32553,17,238,9,2,2021-10-15 21:53:18.413000000
32553,17,239,8,1,2021-10-15 21:53:18.413000000
32553,17,240,8,1,2021-10-15 21:53:18.413000000
33252,29,368,12,1,2020-06-19 22:52:07.913000000
33252,29,369,12,1,2020-06-19 22:52:07.913000000
33252,29,370,12,1,2020-06-19 22:52:07.913000000
33252,29,371,12,1,2020-06-19 22:52:07.913000000
33252,29,372,12,1,2020-06-19 22:52:07.913000000
33256,23,368,12,1,2019-12-06 14:13:15.087000000
33256,23,369,12,1,2019-12-06 14:13:15.087000000
33256,23,370,12,1,2019-12-06 14:13:15.087000000
33256,23,371,12,1,2019-12-06 14:13:15.087000000
33256,23,372,12,1,2019-12-06 14:13:15.087000000
33261,40,368,12,1,2021-05-21 14:22:14.300000000
33261,40,369,12,1,2021-05-21 14:22:14.300000000
33261,40,370,12,1,2021-05-21 14:22:14.300000000
33261,40,371,12,1,2021-05-21 14:22:14.300000000
33261,40,372,12,1,2021-05-21 14:22:14.300000000
33267,17,368,12,1,2019-11-21 23:30:59.287000000
33267,17,369,12,1,2019-11-21 23:30:59.287000000
33267,17,370,12,1,2019-11-21 23:30:59.287000000
33267,17,371,12,1,2019-11-21 23:30:59.287000000
33267,17,372,12,1,2019-11-21 23:30:59.287000000
33270,35,368,12,1,2021-01-15 14:01:44.110000000
33270,35,369,12,1,2021-01-15 14:01:44.110000000
33270,35,370,12,1,2021-01-15 14:01:44.110000000
33270,35,371,12,1,2021-01-15 14:01:44.110000000
33270,35,372,12,1,2021-01-15 14:01:44.110000000
33271,15,368,12,1,2019-11-21 23:23:01.300000000
33271,15,369,12,1,2019-11-21 23:23:01.300000000
33271,15,370,12,1,2019-11-21 23:23:01.300000000
33271,15,371,12,1,2019-11-21 23:23:01.300000000
33271,15,372,12,1,2019-11-21 23:23:01.300000000
33274,36,368,12,1,2021-01-29 16:06:51.883000000
33274,36,369,12,1,2021-01-29 16:06:51.883000000
33274,36,370,12,1,2021-01-29 16:06:51.883000000
33274,36,371,12,1,2021-01-29 16:06:51.883000000
33274,36,372,12,1,2021-01-29 16:06:51.883000000
33282,26,368,12,1,2019-10-02 19:15:10.080000000
33282,26,369,12,1,2019-10-02 19:15:10.080000000
33282,26,370,12,1,2019-10-02 19:15:10.080000000
33282,26,371,12,1,2019-10-02 19:15:10.080000000
33282,26,372,12,1,2019-10-02 19:15:10.080000000
33312,34,139,10,2,2020-03-08 00:06:51.730000000
33312,34,140,10,2,2020-03-08 00:06:51.730000000
33312,34,388,10,1,2020-03-08 00:06:51.730000000
33312,34,389,10,1,2020-03-08 00:06:51.730000000
33317,29,139,10,2,2020-02-13 14:39:15.143000000
33317,29,140,10,2,2020-02-13 14:39:15.143000000
33317,29,388,10,1,2020-02-13 14:39:15.143000000
33317,29,389,10,1,2020-02-13 14:39:15.143000000
33318,47,139,10,2,2020-02-21 13:50:24.063000000
33318,47,140,10,2,2020-02-21 13:50:24.063000000
33318,47,388,10,1,2020-02-21 13:50:24.063000000
33318,47,389,10,1,2020-02-21 13:50:24.063000000
33369,26,139,10,2,2020-02-28 20:03:20.573000000
33369,26,140,10,2,2020-02-28 20:03:20.573000000
33369,26,388,10,1,2020-02-28 20:03:20.573000000
33369,26,389,10,1,2020-02-28 20:03:20.573000000
33370,30,139,10,2,2020-03-27 16:24:57.783000000
33370,30,140,10,2,2020-03-27 16:24:57.783000000
33370,30,388,10,1,2020-03-27 16:24:57.783000000
33370,30,389,10,1,2020-03-27 16:24:57.783000000
33380,18,368,12,1,2019-10-02 19:43:02.320000000
33380,18,369,12,1,2019-10-02 19:43:02.320000000
33380,18,370,12,1,2019-10-02 19:43:02.320000000
33380,18,371,12,1,2019-10-02 19:43:02.320000000
33380,18,372,12,1,2019-10-02 19:43:02.320000000
33382,24,368,12,1,2019-11-21 23:34:05.030000000
33382,24,369,12,1,2019-11-21 23:34:05.030000000
33382,24,370,12,1,2019-11-21 23:34:05.030000000
33382,24,371,12,1,2019-11-21 23:34:05.030000000
33382,24,372,12,1,2019-11-21 23:34:05.030000000
33393,5,272,11,1,2019-11-08 19:01:58.600000000
33393,5,308,13,1,2019-11-08 19:01:58.600000000
33394,44,273,9,1,2019-11-01 15:45:22.120000000
33394,44,274,9,1,2019-11-01 15:45:22.120000000
33394,44,275,9,1,2019-11-01 15:45:22.120000000
33394,44,297,13,1,2019-11-01 15:45:22.120000000
33394,44,298,13,1,2019-11-01 15:45:22.120000000
33394,44,299,13,1,2019-11-01 15:45:22.120000000
33394,44,300,13,1,2019-11-01 15:45:22.120000000
33394,44,301,13,1,2019-11-01 15:45:22.120000000
33394,44,302,13,1,2019-11-01 15:45:22.120000000
33394,44,303,13,1,2019-11-01 15:45:22.120000000
33394,44,304,13,1,2019-11-01 15:45:22.120000000
33394,44,305,13,1,2019-11-01 15:45:22.120000000
33394,44,306,13,1,2019-11-01 15:45:22.120000000
33394,44,307,13,1,2019-11-01 15:45:22.120000000
33394,44,309,13,1,2019-11-01 15:45:22.120000000
33394,44,310,13,1,2019-11-01 15:45:22.120000000
33394,44,311,13,1,2019-11-01 15:45:22.120000000
33394,44,312,13,1,2019-11-01 15:45:22.120000000
33394,44,313,13,1,2019-11-01 15:45:22.120000000
33394,44,269,8,1,2019-11-01 15:45:22.120000000
33394,44,270,8,1,2019-11-01 15:45:22.120000000
33394,44,271,8,1,2019-11-01 15:45:22.120000000
33396,10,269,8,1,2019-10-18 14:28:57.443000000
33396,10,270,8,1,2019-10-18 14:28:57.443000000
33396,10,271,8,1,2019-10-18 14:28:57.443000000
33396,10,273,9,1,2019-10-18 14:28:57.443000000
33396,10,274,9,1,2019-10-18 14:28:57.443000000
33396,10,275,9,1,2019-10-18 14:28:57.443000000
33396,10,297,13,1,2019-10-18 14:28:57.443000000
33396,10,298,13,1,2019-10-18 14:28:57.443000000
33396,10,299,13,1,2019-10-18 14:28:57.443000000
33396,10,300,13,1,2019-10-18 14:28:57.443000000
33396,10,301,13,1,2019-10-18 14:28:57.443000000
33396,10,302,13,1,2019-10-18 14:28:57.443000000
33396,10,303,13,1,2019-10-18 14:28:57.443000000
33396,10,304,13,1,2019-10-18 14:28:57.443000000
33396,10,305,13,1,2019-10-18 14:28:57.443000000
33396,10,306,13,1,2019-10-18 14:28:57.443000000
33396,10,307,13,1,2019-10-18 14:28:57.443000000
33396,10,309,13,1,2019-10-18 14:28:57.443000000
33396,10,310,13,1,2019-10-18 14:28:57.443000000
33396,10,311,13,1,2019-10-18 14:28:57.443000000
33396,10,312,13,1,2019-10-18 14:28:57.443000000
33396,10,313,13,1,2019-10-18 14:28:57.443000000
33398,26,269,8,1,2020-07-31 18:58:05.167000000
33398,26,270,8,1,2020-07-31 18:58:05.167000000
33398,26,271,8,1,2020-07-31 18:58:05.167000000
33398,26,273,9,1,2020-07-31 18:58:05.167000000
33398,26,274,9,1,2020-07-31 18:58:05.167000000
33398,26,275,9,1,2020-07-31 18:58:05.167000000
33398,26,297,13,1,2020-07-31 18:58:05.167000000
33398,26,298,13,1,2020-07-31 18:58:05.167000000
33398,26,299,13,1,2020-07-31 18:58:05.167000000
33398,26,300,13,1,2020-07-31 18:58:05.167000000
33398,26,301,13,1,2020-07-31 18:58:05.167000000
33398,26,302,13,1,2020-07-31 18:58:05.167000000
33398,26,303,13,1,2020-07-31 18:58:05.167000000
33398,26,304,13,1,2020-07-31 18:58:05.167000000
33398,26,305,13,1,2020-07-31 18:58:05.167000000
33398,26,306,13,1,2020-07-31 18:58:05.167000000
33398,26,307,13,1,2020-07-31 18:58:05.167000000
33398,26,309,13,1,2020-07-31 18:58:05.167000000
33398,26,310,13,1,2020-07-31 18:58:05.167000000
33398,26,311,13,1,2020-07-31 18:58:05.167000000
33398,26,312,13,1,2020-07-31 18:58:05.167000000
33398,26,313,13,1,2020-07-31 18:58:05.167000000
33399,14,269,8,1,2019-12-20 17:22:27.337000000
33399,14,270,8,1,2019-12-20 17:22:27.337000000
33399,14,271,8,1,2019-12-20 17:22:27.337000000
33399,14,273,9,1,2019-12-20 17:22:27.337000000
33399,14,274,9,1,2019-12-20 17:22:27.337000000
33399,14,275,9,1,2019-12-20 17:22:27.337000000
33399,14,297,13,1,2019-12-20 17:22:27.337000000
33399,14,298,13,1,2019-12-20 17:22:27.337000000
33399,14,299,13,1,2019-12-20 17:22:27.337000000
33399,14,300,13,1,2019-12-20 17:22:27.337000000
33399,14,301,13,1,2019-12-20 17:22:27.337000000
33399,14,302,13,1,2019-12-20 17:22:27.337000000
33399,14,303,13,1,2019-12-20 17:22:27.337000000
33399,14,304,13,1,2019-12-20 17:22:27.337000000
33399,14,305,13,1,2019-12-20 17:22:27.337000000
33399,14,306,13,1,2019-12-20 17:22:27.337000000
33399,14,307,13,1,2019-12-20 17:22:27.337000000
33399,14,309,13,1,2019-12-20 17:22:27.337000000
33399,14,310,13,1,2019-12-20 17:22:27.337000000
33399,14,311,13,1,2019-12-20 17:22:27.337000000
33399,14,312,13,1,2019-12-20 17:22:27.337000000
33399,14,313,13,1,2019-12-20 17:22:27.337000000
33405,25,368,12,1,2020-06-19 22:57:32.487000000
33405,25,369,12,1,2020-06-19 22:57:32.487000000
33405,25,370,12,1,2020-06-19 22:57:32.487000000
33405,25,371,12,1,2020-06-19 22:57:32.487000000
33405,25,372,12,1,2020-06-19 22:57:32.487000000
33406,10,368,12,1,2019-11-22 00:26:13.180000000
33406,10,369,12,1,2019-11-22 00:26:13.180000000
33406,10,370,12,1,2019-11-22 00:26:13.180000000
33406,10,371,12,1,2019-11-22 00:26:13.180000000
33406,10,372,12,1,2019-11-22 00:26:13.180000000
33410,26,368,12,1,2020-02-27 17:51:27.793000000
33410,26,369,12,1,2020-02-27 17:51:27.793000000
33410,26,370,12,1,2020-02-27 17:51:27.793000000
33410,26,371,12,1,2020-02-27 17:51:27.793000000
33410,26,372,12,1,2020-02-27 17:51:27.793000000
33411,29,368,12,1,2019-10-02 20:01:24.527000000
33411,29,369,12,1,2019-10-02 20:01:24.527000000
33411,29,370,12,1,2019-10-02 20:01:24.527000000
33411,29,371,12,1,2019-10-02 20:01:24.527000000
33411,29,372,12,1,2019-10-02 20:01:24.527000000
33413,45,368,12,1,2019-10-02 20:07:53.497000000
33413,45,369,12,1,2019-10-02 20:07:53.497000000
33413,45,370,12,1,2019-10-02 20:07:53.497000000
33413,45,371,12,1,2019-10-02 20:07:53.497000000
33413,45,372,12,1,2019-10-02 20:07:53.497000000
33417,40,378,13,1,2021-04-05 19:41:21.933000000
33417,40,379,13,1,2021-04-05 19:41:21.933000000
33417,40,380,13,1,2021-04-05 19:41:21.933000000
33417,40,381,13,1,2021-04-05 19:41:21.933000000
33417,40,394,12,1,2021-04-05 19:41:21.933000000
33417,40,395,12,1,2021-04-05 19:41:21.933000000
33417,40,396,12,1,2021-04-05 19:41:21.933000000
33418,54,378,13,1,2020-12-04 13:57:03.823000000
33418,54,379,13,1,2020-12-04 13:57:03.823000000
33418,54,380,13,1,2020-12-04 13:57:03.823000000
33418,54,381,13,1,2020-12-04 13:57:03.823000000
33418,54,394,12,1,2020-12-04 13:57:03.823000000
33418,54,395,12,1,2020-12-04 13:57:03.823000000
33418,54,396,12,1,2020-12-04 13:57:03.823000000
33420,41,374,13,1,2021-02-25 14:46:39.370000000
33420,41,375,13,1,2021-02-25 14:46:39.370000000
33420,41,376,13,1,2021-02-25 14:46:39.370000000
33420,41,377,13,1,2021-02-25 14:46:39.370000000
33420,41,378,13,1,2021-02-25 14:46:39.370000000
33420,41,379,13,1,2021-02-25 14:46:39.370000000
33420,41,380,13,1,2021-02-25 14:46:39.370000000
33420,41,381,13,1,2021-02-25 14:46:39.370000000
33420,41,391,12,1,2021-02-25 14:46:39.370000000
33420,41,392,12,1,2021-02-25 14:46:39.370000000
33420,41,393,12,1,2021-02-25 14:46:39.370000000
33420,41,394,12,1,2021-02-25 14:46:39.370000000
33420,41,395,12,1,2021-02-25 14:46:39.370000000
33420,41,396,12,1,2021-02-25 14:46:39.370000000
33422,40,378,13,1,2021-06-04 14:36:33.740000000
33422,40,379,13,1,2021-06-04 14:36:33.740000000
33422,40,380,13,1,2021-06-04 14:36:33.740000000
33422,40,381,13,1,2021-06-04 14:36:33.740000000
33422,40,394,12,1,2021-06-04 14:36:33.740000000
33422,40,395,12,1,2021-06-04 14:36:33.740000000
33422,40,396,12,1,2021-06-04 14:36:33.740000000
33423,48,374,13,1,2021-04-14 13:02:40.980000000
33423,48,375,13,1,2021-04-14 13:02:40.980000000
33423,48,376,13,1,2021-04-14 13:02:40.980000000
33423,48,377,13,1,2021-04-14 13:02:40.980000000
