lcd_id,lcd_version,hcpc_code_group,"paragraph",last_updated
33312,34,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS:&nbsp;</strong></p>
<p>EY - No physician or other licensed healthcare provider order for this item or service</p>
<p>GA - Waiver of liability statement on file issued as required by payer policy, individual case</p>
<p>GY - Item or service statutorily excluded or doesn&rsquo;t meet the definition of any Medicare benefit category</p>
<p>GZ - Item or service expected to be denied as not reasonable and necessary</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p>&nbsp;</p>
<p><strong>HCPCS CODES:</strong></p>
<p><strong>SEAT CUSHIONS:</strong></p>",2020-03-08 00:06:51.737000000
33312,34,2,"<p>BACK CUSHIONS:</p>",2020-03-08 00:06:51.763000000
33312,34,3,"<p>POSITIONING ACCESSORIES:</p>",2020-03-08 00:06:51.777000000
33312,34,4,"<p>MISCELLANEOUS:</p>",2020-03-08 00:06:51.787000000
33317,29,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><strong>HCPCS MODIFIERS:</strong><br /><br />EY &ndash; No physician or other licensed health care provider order for this item or service<br />LT - Left side<br />RT - Right side<br /><br /><strong>HCPCS CODES:</strong><br /><br /></p>",2020-01-30 22:42:23.900000000
33318,47,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /></p>
<p><strong>HCPCS MODIFIER</strong></p>
<p>EY &ndash; No physician or other licensed health care provider order for this item or service</p>
<p>GA &ndash; Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GZ &ndash; Item or service expected to be denied as not reasonable and necessary</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p>LT - Left side</p>
<p>RT - Right side<br /><br /></p>
<p><strong>HCPCS CODES</strong></p>",2020-02-21 13:50:24.070000000
33369,26,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p>&nbsp;</p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA - Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GY - Item or service statutorily excluded or does not meet the definition of any Medicare benefi</p>
<p>GZ - Item or service expected to be denied as not reasonable and necessary</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p>LT - Left Side&nbsp;</p>
<p>RT - Right Side</p>
<p>&nbsp;</p>
<p><strong>HCPCS CODES:</strong></p>",2020-02-28 20:03:20.577000000
33370,30,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /></p>
<p><strong>HCPCS MODIFIERS:<br /></strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA - Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GZ - Item or service expected to be denied as not reasonable and necessary</p>
<p>JW - Drug amount discarded/not administered to any patient</p>
<p>KO - Single drug unit dose formulation</p>
<p>KP - First drug of a multiple drug unit dose formulation</p>
<p>KQ - Second or subsequent drug of a multiple drug unit dose formulation</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p>&nbsp;</p>
<p><strong>HCPCS CODES:</strong></p>
<p>&nbsp;</p>
<p><strong>EQUIPMENT</strong></p>",2020-03-27 16:24:57.787000000
33370,30,2,"<p><strong>ACCESSORIES</strong></p>",2020-03-27 16:24:57.803000000
33370,30,3,"<p><strong>INHALATION DRUGS AND SOLUTIONS</strong></p>",2020-03-27 16:24:57.827000000
33393,5,1,"<p>N/A</p>",2019-11-08 19:01:58.610000000
33610,31,1,"EY - No physician or other licensed health care provider order for this item or service<br /><br />JW - Drug amount discarded/not administered to any patient<br /><br />HCPCS CODES:<br /><br /><br />",2021-04-22 14:01:50.063000000
33611,25,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA - Waiver of liability statement issued, as required by payer policy</p>
<p>GZ - Item or service expected to be denied as not reasonable and necessary</p>
<p>KX -Requirements specified in the medical policy have been met</p>
<p><strong>HCPCS CODES:</strong></p>",2021-06-18 15:48:24.820000000
33612,19,1,"<p>The appearance of a code in this section does not necessarily indicate coverage. <br /><br /><strong>HCPCS MODIFIERS:</strong><br /><br />EY - No physician or other licensed health care provider order for this item or service<br /><br /><strong>HCPCS CODES:</strong></p>",2020-02-14 17:03:37.990000000
33641,21,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIERS:</b><br /><br />EY – No physician or other licensed health care provider order for this item or service<br />GY - Item or service statutorily excluded or does not meet the definition of any Medicare benefit<br />KX - Requirements specified in the medical policy have been met<br />LT - Left side  <br />RT - Right side <br /><br /><B>HCPCS CODES</B><br />",2020-02-14 15:56:28.707000000
33642,26,1,"The appearance of a code in this section does not necessarily indicate coverage.<br /><br /><b>HCPCS MODIFIERS:</b><br /><br />EY – No physician or other licensed health care provider order for this item or service<br />GA – Waiver of liability statement issued, as required by payer policy, individual case<br />GZ – Item or service expected to be denied as not reasonable and necessary<br />KX - Requirements specified in the medical policy have been met<br /><br /><b>HCPCS CODES:</b><br />",2021-03-12 14:27:15.720000000
33686,28,1,"The appearance of a code in this section does not necessarily indicate coverage. <br /><br /><p><b>HCPCS MODIFIERS:</b></p><br /><p>EY - No physician or other licensed health care provider order for this item or service </p><br /><p>GA – Waiver of liability statement issued as required by payer policy, individual case </p><br /><p>GZ – Item or service expected to be denied as not reasonable and necessary </p><br /><p>KX - Requirements specified in the medical policy have been met </p><br /><p>LT - Left Side </p><br /><p>RT - Right Side </p><br /><br /><p><b>HCPCS CODES:</b></p>",2020-02-14 20:11:34.200000000
33690,20,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /></p>
<p><strong>HCPCS MODIFIERS:</strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA &ndash; Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GZ &ndash; Item or service expected to be denied as not reasonable and necessary</p>
<p>KF &ndash; Item designated by FDA as class III device</p>
<p>KX &ndash; Requirements specified in the medical policy have been met<br /><br /></p>
<p><strong>HCPCS CODES:</strong></p>",2020-02-13 15:00:35.903000000
33692,21,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIER:<br /></strong></p>
<p>EY &ndash; No physician or other licensed health care provider order for this item or service</p>
<p>GA &ndash; Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GZ &ndash; Item or service expected to be denied as not reasonable and necessary</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p><strong>HCPCS CODES:</strong></p>",2021-03-11 17:42:07.487000000
33718,25,1,"<p>The appearance of a code in this section does not necessarily indicate coverage. <br /><br /><strong>HCPCS MODIFIERS:</strong><br />EY - No physician or other licensed health care provider order for this item or service<br />GA - Waiver of liability statement issued as required by payer policy, individual case<br />GZ - Item or service expected to be denied as not reasonable and necessary<br />KX - Requirements specified in the medical policy have been met<br /><br /><strong>HCPCS CODES:</strong><br /><br /><strong>EQUIPMENT:</strong></p>",2021-06-18 18:11:59.040000000
33718,25,2,"<b>ACCESSORIES</b><br />",2021-06-18 18:11:59.047000000
33733,19,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS:<br /></strong></p>
<p>EY &ndash; No physician or other licensed health care provider order for this item or service</p>
<p><strong>HCPCS CODES:<br /></strong></p>",2020-02-13 15:03:55.297000000
33735,19,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.</p>
<p><strong>HCPCS MODIFIERS:<br /></strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p><strong>HCPCS CODES:<br /></strong></p>",2020-02-13 15:07:16.540000000
33736,20,1,"<p>The appearance of a code in this section does not necessarily indicate coverage.<br /><br /></p>
<p><strong>HCPCS MODIFIERS:<br /></strong></p>
<p>EY - No physician or other licensed health care provider order for this item or service</p>
<p>GA &ndash; Waiver of liability statement issued as required by payer policy, individual case</p>
<p>GY - Item or service statutorily excluded or does not meet the definition of any Medicare Benefit</p>
<p>GZ &ndash; Item or service expected to be denied as not reasonable and necessary</p>
<p>KX - Requirements specified in the medical policy have been met</p>
<p>&nbsp;</p>
<p><strong>HCPCS CODES:</strong></p>
<p>&nbsp;</p>",2020-02-13 15:23:53.833000000
