PortSkey,PortName,Latitude,Longitude
1598,Bahregan Oil Centre (BOC),29.715,50.169998
1599,Harnosand,62.643333,17.945833
1601,Itajai,-26.908833,-48.651669
1602,Simrishamn,55.55,14.333333
1604,Sirri Island,25.896667,54.588333
1605,Port Gentil,-0.68,8.785
1606,Helsingborg,56.026665,12.691667
1607,Macassar,-5.116667,119.4
1608,Santana,-0.058333,-51.181667
1609,Al Basra Oil Terminal,29.68,48.813332
1611,Kota Kinabalu,5.995,116.076668
1612,Twofold Bay,-37.071667,149.934998
1613,Hoganas,56.2,12.55
1614,Maracaibo,10.633333,-71.598335
1615,Skoghall,59.333333,13.433333
1616,Maceio,-9.703333,-35.738335
1617,Skutskar,60.633333,17.416667
1618,Banjul,13.443334,-16.573334
1619,Vaja,62.643333,17.945833
1620,Khor Al Zubair,30.196516,47.885899
1621,Kuching,1.743333,110.534996
1623,Manaus,-3.141667,-60.031666
1624,Slite,57.661667,18.865
1625,Hudiksvall,61.723659,17.116766
1626,Lugnvik,63.283333,18.733333
1627,Palua,8.361903,-62.694043
1629,Natal,-5.7625,-35.205002
1630,Eilat,29.527967,34.938667
1631,Utansjo,62.643333,17.945833
1632,Pamatacual,10.244166,-64.573334
1633,Rostock,54.158333,12.103333
1639,Port Ibrahim,29.915001,32.511665
1640,Solvesborg,56.048332,14.585834
1642,Kalmar,56.661667,16.371666
1643,Stralsund,54.316666,13.1
1645,Karlshamn,56.159168,14.860833
1646,Storugns,57.75,18.816667
1647,Jounieh,33.988335,35.626667
1648,Port Tewfik,29.9375,32.557499
1649,Labuan,5.268333,115.251663
1650,Wismar,53.900833,11.453333
1652,Strangnas,59.383333,17.033333
1653,Selaata,34.284218,35.655231
1654,Karlskrona,56.1675,15.595
1655,Al Qusayr,26.1,34.283333
1657,Lahad Datu,5.02,118.328331
1659,Trollhatte Canal,58.266667,12.3
1661,Praia Mole,-20.293333,-40.250832
1662,Karlstad,59.366667,13.5
1664,Quseir,26.1,34.283333
1666,Mahe,-4.623464,55.463356
1667,Brake,53.331665,8.491667
1669,Bremen,53.119999,8.705
1670,Rey Malabo,3.758967,8.77885
1671,Karskar,60.683333,17.266667
