InternationalMaritimeOrganizationNumber,VesselTypeName,VesselStatusName,DeadWeightTonnage,Speed,ManagementcompanyCode,ManagementCompany
8690681,General Cargo Ship,In Trading Fleet,1750,8.6,9991001,Unknown
8922436,General Cargo Ship,In Trading Fleet,2080,11.75,6111995,Kumwon Shipping & Trading Co
9014705,General Cargo Ship,In Trading Fleet,3735,10.6,1168545,Wilson Ship Management AS
9014717,General Cargo Ship,In Trading Fleet,3735,10.6,1168545,Wilson Ship Management AS
9014767,Refrigerated Cargo Ship,In Trading Fleet,12891,21.5,1687370,Ost-West-Handel und Schiffahrt GmbH
9014872,General Cargo Ship,In Trading Fleet,12239,13,5825809,LLC TK Nord Project
9014937,General Cargo Ship,In Trading Fleet,4175,12,5514301,Hansa Ship Management OU
9014949,General Cargo Ship,In Trading Fleet,4195,11,5815731,Northsea Shipping Ltd
9014963,LPG Tanker,In Trading Fleet,2628,11,4005682,Reliance Industries Ltd
9015084,Cement Carrier,In Trading Fleet,6520,13.3,5666631,Aki Line Co Ltd
9015187,Refrigerated Cargo Ship,In Trading Fleet,13930,22,280765,Seatrade Groningen BV
9061588,Bulk Carrier,In Trading Fleet,22035,14,9991001,Unknown
9061887,Bulk Carrier,Broken Up,69235,14.5,5288835,PT Jaya Samudra Karunia Shipping
9061904,Refrigerated Cargo Ship,In Trading Fleet,5388,18,6045388,LLC 'Far East Fleet'
9106467,Container Ship (Fully Cellular),In Trading Fleet,9200,17.5,4068111,Arkas Denizcilik ve Nakliyat AS (Arkas Shipping & Transport AS)
9106493,Container Ship (Fully Cellular),In Trading Fleet,13623,18,5860128,Medlog Shipping & Trade SA (Medlog Gemicilik ve Ticaret AS)
9106584,General Cargo Ship,In Trading Fleet,4068,11,1937796,JSC 'Afalita Shipping' (UAB 'Afalita Shipping')
9106637,Container Ship (Fully Cellular),In Trading Fleet,14464,18.5,313623,PT Meratus Line
9106649,Container Ship (Fully Cellular),In Trading Fleet,14454,18.5,9991001,Unknown
9106900,General Cargo Ship,In Trading Fleet,3680,10,5315623,Aleria Denizcilik ve Ticaret AS (Aleria Shipping)
